session_id,src_ip,user,start_time,end_time,n_events,end_type,total_events,failed_logins,downloads,uploads,unique_commands,unique_files,night_events,total_bytes,avg_speed,session_duration,fail_ratio,night_ratio,transfer_ratio,bytes_per_file,garbage_cmd_ratio,abrupt_disconnect,is_auth,label
0,178.65.243.243,deploy_user,2026-04-16T05:44:27,2026-04-16T05:44:59,124,clean,124,0,1,10,15,8,124,3444037.0,534.9418181818181,32.0,0.0,1.0,0.08870967741935484,430504.625,0.0,0,1,
1,170.142.236.64,deploy_user,2026-04-16T21:46:07,2026-04-16T21:46:53,136,clean,136,0,1,12,15,10,0,3487511.0,532.996923076923,46.0,0.0,0.0,0.09558823529411764,348751.1,0.0,0,1,
2,132.125.189.73,deploy_user,2026-04-16T23:56:46,2026-04-16T23:57:35,148,clean,148,0,1,14,15,12,0,3500263.0,947.9259999999999,49.0,0.0,0.0,0.10135135135135136,291688.5833333333,0.0,0,1,
3,115.235.179.79,deploy_user,2026-04-17T00:05:13,2026-04-17T00:05:47,118,clean,118,0,1,9,15,7,118,3520853.0,561.308,34.0,0.0,1.0,0.0847457627118644,502979.0,0.0,0,1,
4,221.89.154.104,deploy_user,2026-04-17T10:25:17,2026-04-17T10:26:13,142,clean,142,0,1,13,15,11,0,3535249.0,793.7071428571428,56.0,0.0,0.0,0.09859154929577464,321386.2727272727,0.0,0,1,
5,148.41.70.39,deploy_user,2026-04-17T23:29:34,2026-04-17T23:29:55,94,clean,94,0,1,5,15,3,0,3358374.0,778.735,21.0,0.0,0.0,0.06382978723404255,1119458.0,0.0,0,1,
6,45.223.248.8,deploy_user,2026-04-18T01:42:14,2026-04-18T01:42:39,100,clean,100,0,1,6,15,4,100,3458983.0,586.2914285714286,25.0,0.0,1.0,0.07,864745.75,0.0,0,1,
7,195.20.15.244,deploy_user,2026-04-18T01:55:07,2026-04-18T01:55:23,100,clean,100,0,1,6,15,4,100,3472508.0,858.9342857142857,16.0,0.0,1.0,0.07,868127.0,0.0,0,1,
8,187.189.35.130,deploy_user,2026-04-18T06:58:36,2026-04-18T06:58:58,94,clean,94,0,1,5,15,3,0,3359269.0,833.1766666666666,22.0,0.0,0.0,0.06382978723404255,1119756.3333333333,0.0,0,1,
9,8.166.93.125,deploy_user,2026-04-19T00:47:17,2026-04-19T00:47:51,112,clean,112,0,1,8,15,6,112,3420307.0,514.2488888888888,34.0,0.0,1.0,0.08035714285714286,570051.1666666666,0.0,0,1,
